function,ordered_arguments
benchmark_conditional_backends,formula;data;group;weights;model;backends;reference_backend;control;sample_n;seed;point_workers
benchmark_qr_scaling,formula;data;group;weights;solvers;reference_solver;control;sample_sizes;seed;point_workers;repetitions;warmup;randomize_order;rss_poll_interval_ms;timeout_seconds;checkpoint_path;resume
benchmark_qr_solvers,formula;data;group;weights;solvers;reference_solver;control;sample_n;seed;point_workers
benchmark_qr_solvers_repeated,formula;data;group;weights;solvers;reference_solver;control;sample_n;seed;point_workers;repetitions;warmup;randomize_order
cf_control,nreg;trimming;reported_quantiles;alpha;weighted_bootstrap;bootstrap_scheme;legacy_qr_shift;legacy_weighted_quantile;qr_precondition;onestep_first_solver;onestep_bandwidth;qr_bootstrap_engine;robust_se;bootstrap_max_retries;bootstrap_progress;marginal_method;marginal_chunk_rows;marginal_matrix_max_mb;marginal_histogram_bins;marginal_candidate_max;crossing_diagnostics;crossing_tolerance;quantile_noncrossing;cqr_right;cqr_nsteps;cqr_first_cut;cqr_later_cut;cox_boundary;linear_backend;dr_backend;dr_workers;dr_warm_start;dr_maxit;dr_tolerance;dr_precondition;gpu_backend;gpu_precision;gpu_python;gpu_python_path;gpu_module_path;gpu_block_columns;gpu_qr_rho;gpu_qr_maxit;gpu_qr_tolerance;gpu_qr_allow_nonconvergence
conditional_backend_registry,
counterfactual_decompose,formula;data;group;weights;model;solver;control;bootstrap_reps;point_workers;bootstrap_workers;checkpoint_dir;seed;censoring;event
fit_weighted_qr,X;y;weights;taus;solver;precondition;onestep_first_solver;onestep_bandwidth;gpu_control
functional_effect_tests,object;constants;quantile_range
gpu_backend_status,python;python_path;module_path
qr_solver_registry,
register_conditional_backend,name;type;fit;objective_preserving;description;overwrite;dependencies;version
register_qr_solver,name;fit;exact;process_aware;description;overwrite;dependencies;version
simulate_counterfactual_validation,replications;n_per_group;scenarios;solver;nreg;trimming;reported_quantiles;weighted;bootstrap_reps;bootstrap_scheme;workers;seed;progress;checkpoint_dir;max_retries;task_timeout_seconds
unregister_conditional_backend,name;type;quiet
unregister_qr_solver,name;quiet
write_cf_outputs,object;output_dir
write_simulation_validation,object;output_dir
